順位,予約数,書名,著者,出版社,出版年月
1,186,危険なビーナス,東野　圭吾,講談社,2016年8月
2,155,陸王,池井戸　潤,集英社,2016年7月
3,151,コンビニ人間,村田　沙耶香,文藝春秋,2016年7月
4,103,アンマーとぼくら,有川　浩,講談社,2016年7月
5,94,どんなに体がかたい人でもベターッと開脚で,Ｅｉｋｏ,サンマーク出版,2016年4月
6,89,海の見える理髪店,荻原　浩,集英社,2016年3月
7,73,九十歳。何がめでたい,佐藤　愛子,小学館,2016年8月
8,71,希望荘（杉村三郎シリーズ）,宮部　みゆき,小学館,2016年6月
9,61,去就 （隠蔽捜査）,今野　敏,新潮社,2016年7月
10,58,コーヒーが冷めないうちに,川口　俊和,サンマーク出版,2015年12月
11,57,小説君の名は。 （角川文庫）,新海　誠,ＫＡＤＯＫＡ,2016年6月
12,55,おおあたり（「しゃばけ」シリーズ）,畠中　恵,新潮社,2016年7月
13,54,君の膵臓をたべたい,住野　よる,双葉社, 2015年6月
14,51,考えない台所,高木　ゑみ,サンクチュアリ,2015年6月
15,49,やめてみた。 本当に必要なものが見えてくる,わたなべ　ぽん,幻冬舎,2016年7月
16,48,怒り　上,吉田　修一,中央公論新社,2014年1月
17,47,言ってはいけない 残酷すぎる真実 （新）,橘　玲,新潮社,2016年4月
18,44,君の名は。,新海　誠,ＫＡＤＯＫＡ,2016年8月
19,43,ラヴィアンローズ,村山　由佳 ,集英社,2016年7月
20,43,怒り　下,吉田　修一,中央公論新社,2014年1月
